Site	 Theta	Phi
#FCz  23   90  # Ref; not read by default
Fp1	 -92	-72
Fpz	  92	 90
Fp2	  92	 72
AF7	 -92	-54
AF3	 -74	-65
AFz	  69	 90
AF4	  74	 65
AF8	  92	 54
F7	 -92	-36
F5	 -75	-41
F3	 -60	-51
F1	 -50	-68
Fz	  46	 90
F2	  50	 68
F4	  60	 51
F6	  75	 41
F8	  92	 36
FT9	-115	-18
FT7	 -92	-18
FC5	 -72	-21
FC3	 -53	-33
FC1	 -32	-45
FC2	  32	 45
FC4	  53	 33
FC6	  72	 21
FT8	  92	 18
FT10	 115	 18
T9p   -115  -8
T7	 -92	  0
C5	 -69	  0
C3	 -46	  0
C1	 -23	  0
Cz	   0	  0
C2	  23	  0
C4	  46	  0
C6	  69	  0
T8	  92	  0
T10p   115  8
TP11	-135	 18
TP9	-115	 18
TP7	 -92	 18
CP5	 -72	 21
CP3	 -52	 33
CP1	 -32	 45
CPz	  23	-90
CP2	  32	-45
CP4	  52	-33
CP6	  72	-21
TP8	  92	-18
TP10	 115	-18
TP12	135	 18
P9	-115	 36
P7	 -92	 36
P5	 -75	 41
P3	 -60	 51
P1	 -50	 68
Pz	  46	-90
P2	  50	-68
P4	  60	-51
P6	  75	-41
P8	  92	-36
P10	 115	-36
PO9	-115	 54
PO7	 -92	 54
PO3	 -74	 65
POz	  69	-90
PO4	  74	-65
PO8	  92	-54
PO10	 115	-54
O1	 -92	 72
Oz	  92	-90
O2	  92	-72
O9	-115	 72
Iz	 115	-90
O10	 115	-72
